Group,Strain.Toxin,Host_type,num
Rank3,BT_Cry8Ea,Orders,1
Rank3,BT_Cry8Ea,Species,5
Rank3,BT_Cry8Fa,Orders,1
Rank3,BT_Cry8Fa,Species,2
Rank3,BT_Cry8Ga,Orders,1
Rank3,BT_Cry8Ga,Species,3
Rank3,BT_Cry8Ha,Orders,1
Rank3,BT_Cry8Ha,Species,4
Rank3,BT_Cry8Hb,Orders,1
Rank3,BT_Cry8Hb,Species,1
Rank3,BT_Cry8Ia,Orders,1
Rank3,BT_Cry8Ia,Species,1
Rank3,BT_Cry8Ka,Orders,1
Rank3,BT_Cry8Ka,Species,1
Rank3,BT_Cry8Kb,Orders,1
Rank3,BT_Cry8Kb,Species,1
Rank3,BT_Cry8Na,Orders,1
Rank3,BT_Cry8Na,Species,1
Rank3,BT_Cry8Pa,Orders,1
Rank3,BT_Cry8Pa,Species,2
Rank3,BT_Cry8Qa,Orders,2
Rank3,BT_Cry8Qa,Species,2
Rank3,BT_Cry8Sa,Orders,1
Rank3,BT_Cry8Sa,Species,1
Rank3,BT_Cry9Aa,Orders,1
Rank3,BT_Cry9Aa,Species,14
Rank3,BT_Cry9Bb,Orders,1
Rank3,BT_Cry9Bb,Species,3
Rank3,BT_Cry9Ca,Orders,1
Rank3,BT_Cry9Ca,Species,20
Rank3,BT_Cry9Cb,Orders,1
Rank3,BT_Cry9Cb,Species,5
Rank3,BT_Cry9Da,Orders,2
Rank3,BT_Cry9Da,Species,3
Rank3,BT_Cry9Db,Orders,1
Rank3,BT_Cry9Db,Species,1
Rank3,BT_Cry9Ea,Orders,1
Rank3,BT_Cry9Ea,Species,2
Rank3,BT_Cry9Eb,Orders,1
Rank3,BT_Cry9Eb,Species,4
Rank3,BT_Cry9Ec,Orders,1
Rank3,BT_Cry9Ec,Species,3
Rank3,BT_Cry9Ed,Orders,1
Rank3,BT_Cry9Ed,Species,1
Rank3,BT_Cry9Ee,Orders,1
Rank3,BT_Cry9Ee,Species,3
Rank3,BT_Cry9Ga,Orders,1
Rank3,BT_Cry9Ga,Species,3
Rank3,BT_CryAb,Orders,1
Rank3,BT_CryAb,Species,1
Rank3,BT_Cy1Hc,Orders,1
Rank3,BT_Cy1Hc,Species,2
Rank4,BT_Cry11Aa1,Orders,1
Rank4,BT_Cry11Aa1,Species,7
Rank4,BT_Cry11Ba1,Orders,1
Rank4,BT_Cry11Ba1,Species,5
Rank4,BT_Cry11Bb1,Orders,1
Rank4,BT_Cry11Bb1,Species,5
Rank4,BT_Cry12Aa1,Orders,1
Rank4,BT_Cry12Aa1,Species,2
Rank4,BT_Cry13Aa1,Orders,1
Rank4,BT_Cry13Aa1,Species,2
Rank4,BT_Cry14Aa1,Orders,1
Rank4,BT_Cry14Aa1,Species,2
Rank4,BT_Cry14Ab1,Orders,1
Rank4,BT_Cry14Ab1,Species,2
Rank4,BT_Cry18Aa1,Orders,1
Rank4,BT_Cry18Aa1,Species,1
Rank4,BT_Cry19Aa1,Orders,1
Rank4,BT_Cry19Aa1,Species,2
Rank4,BT_Cry19Ba1,Orders,1
Rank4,BT_Cry19Ba1,Species,1
Rank4,BT_Cry1Aa10,Orders,1
Rank4,BT_Cry1Aa10,Species,1
Rank4,BT_Cry1Aa22,Orders,1
Rank4,BT_Cry1Aa22,Species,1
Rank4,BT_Cry1Aa5,Orders,1
Rank4,BT_Cry1Aa5,Species,3
Rank4,BT_Cry1Ab1,Orders,1
Rank4,BT_Cry1Ab1,Species,2
Rank4,BT_Cry1Ab16,Orders,1
Rank4,BT_Cry1Ab16,Species,1
Rank4,BT_Cry1Ab17,Orders,1
Rank4,BT_Cry1Ab17,Species,1
Rank4,BT_Cry1Ab18,Orders,1
Rank4,BT_Cry1Ab18,Species,2
Rank4,BT_Cry1Ab2,Orders,1
Rank4,BT_Cry1Ab2,Species,2
Rank4,BT_Cry1Ab21,Orders,1
Rank4,BT_Cry1Ab21,Species,1
Rank4,BT_Cry1Ab26,Orders,1
Rank4,BT_Cry1Ab26,Species,1
Rank4,BT_Cry1Ab34,Orders,1
Rank4,BT_Cry1Ab34,Species,3
Rank4,BT_Cry1Ab5,Orders,1
Rank4,BT_Cry1Ab5,Species,2
Rank4,BT_Cry1Ab6,Orders,1
Rank4,BT_Cry1Ab6,Species,2
Rank4,BT_Cry1Ab7,Orders,2
Rank4,BT_Cry1Ab7,Species,2
Rank4,BT_Cry1Ac1,Orders,1
Rank4,BT_Cry1Ac1,Species,1
Rank4,BT_Cry1Ac17,Orders,1
Rank4,BT_Cry1Ac17,Species,1
Rank4,BT_Cry1Ac2,Orders,1
Rank4,BT_Cry1Ac2,Species,6
Rank4,BT_Cry1Ac22,Orders,1
Rank4,BT_Cry1Ac22,Species,1
Rank4,BT_Cry1Ac24,Orders,1
Rank4,BT_Cry1Ac24,Species,1
Rank4,BT_Cry1Ac39,Orders,1
Rank4,BT_Cry1Ac39,Species,2
Rank4,BT_Cry1Ac4,Orders,1
Rank4,BT_Cry1Ac4,Species,1
Rank4,BT_Cry1Ad1,Orders,1
Rank4,BT_Cry1Ad1,Species,3
Rank4,BT_Cry1Af1,Orders,1
Rank4,BT_Cry1Af1,Species,1
Rank4,BT_Cry1Ah1,Orders,1
Rank4,BT_Cry1Ah1,Species,4
Rank4,BT_Cry1Ah2,Orders,1
Rank4,BT_Cry1Ah2,Species,1
Rank4,BT_Cry1Ai1,Orders,1
Rank4,BT_Cry1Ai1,Species,5
Rank4,BT_Cry1Aj1,Orders,1
Rank4,BT_Cry1Aj1,Species,3
Rank4,BT_Cry1Ba1,Orders,3
Rank4,BT_Cry1Ba1,Species,7
Rank4,BT_Cry1Ba3,Orders,1
Rank4,BT_Cry1Ba3,Species,1
Rank4,BT_Cry1Ba6,Orders,1
Rank4,BT_Cry1Ba6,Species,1
Rank4,BT_Cry1Bb1,Orders,1
Rank4,BT_Cry1Bb1,Species,2
Rank4,BT_Cry1Bb2,Orders,1
Rank4,BT_Cry1Bb2,Species,1
Rank4,BT_Cry1Bc1,Orders,1
Rank4,BT_Cry1Bc1,Species,3
Rank4,BT_Cry1Bd1,Orders,1
Rank4,BT_Cry1Bd1,Species,1
Rank4,BT_Cry1Bf1,Orders,1
Rank4,BT_Cry1Bf1,Species,3
Rank4,BT_Cry1Bf2,Orders,1
Rank4,BT_Cry1Bf2,Species,3
Rank4,BT_Cry1Bh1,Orders,2
Rank4,BT_Cry1Bh1,Species,5
Rank4,BT_Cry1Bi1,Orders,1
Rank4,BT_Cry1Bi1,Species,3
Rank4,BT_Cry1Bj1,Orders,1
Rank4,BT_Cry1Bj1,Species,3
Rank4,BT_Cry1Ca1,Orders,2
Rank4,BT_Cry1Ca1,Species,4
Rank4,BT_Cry1Ca15,Orders,1
Rank4,BT_Cry1Ca15,Species,1
