Group,Accession,Num,Dataset,Mode
par,GCA_002147645.1,7,Assemblies,soft
par,GCA_002147685.1,6,Assemblies,soft
par,GCA_002147725.1,5,Assemblies,soft
par,GCA_002147895.1,2,Assemblies,soft
par,GCA_002148015.1,1,Assemblies,soft
par,GCA_002173755.1,2,Assemblies,soft
par,GCA_002236945.1,5,Assemblies,soft
par,GCA_002243685.1,1,Assemblies,soft
par,GCA_002268645.2,5,Assemblies,soft
par,GCA_002550215.1,2,Assemblies,soft
par,GCA_002555365.1,3,Assemblies,soft
par,GCA_002558015.1,7,Assemblies,soft
par,GCA_002558525.1,7,Assemblies,soft
par,GCA_002564505.1,7,Assemblies,soft
par,GCA_002571305.1,7,Assemblies,soft
par,GCA_002572135.1,3,Assemblies,soft
par,GCA_002574115.1,5,Assemblies,soft
par,GCA_002576585.1,3,Assemblies,soft
par,GCA_002581075.1,3,Assemblies,soft
par,GCA_002584205.1,3,Assemblies,soft
par,GCA_002586085.1,5,Assemblies,soft
par,GCA_002589015.1,3,Assemblies,soft
par,GCA_002589045.1,3,Assemblies,soft
par,GCA_002893505.1,2,Assemblies,soft
par,GCA_002893515.1,4,Assemblies,soft
par,GCA_002893525.1,1,Assemblies,soft
par,GCA_002893565.1,10,Assemblies,soft
par,GCA_002893585.1,2,Assemblies,soft
par,GCA_002893605.1,5,Assemblies,soft
par,GCA_003312445.1,5,Assemblies,soft
par,GCA_003546665.1,4,Assemblies,soft
par,GCA_003626955.1,4,Assemblies,soft
par,GCA_003991175.1,5,Assemblies,soft
par,GCA_004167115.1,3,Assemblies,soft
par,GCA_004330415.1,7,Assemblies,soft
par,Gnyt1,4,Strains,soft
par,GR007,10,Strains,soft
par,GS36,1,Strains,soft
par,GWL,1,Strains,soft
par,HBF-1,1,Strains,soft
par,HBF-18,2,Strains,soft
par,HD 1i,6,Strains,soft
par,HD 600,2,Strains,soft
par,HD-1,7,Strains,soft
par,HD-1-02,1,Strains,soft
par,HD-110,2,Strains,soft
par,HD-2,2,Strains,soft
par,HD-525,12,Strains,soft
par,HD-550,1,Strains,soft
par,HD-68,1,Strains,soft
par,HD-771,1,Strains,soft
par,HD-9,3,Strains,soft
par,HD12,11,Strains,soft
par,HD133,6,Strains,soft
par,HD29,10,Strains,soft
par,HD37,1,Strains,soft
par,HD5,4,Strains,soft
par,HER1410,1,Strains,soft
par,higo,4,Strains,soft
par,HS18-1,10,Strains,soft
par,HTS-S-38,2,Strains,soft
par,Hu4-2,6,Strains,soft
par,HuB13-1,3,Strains,soft
par,I13,6,Strains,soft
par,IBL 200,10,Strains,soft
par,IBL00090,9,Strains,soft
par,IBL00171,9,Strains,soft
par,IBL00197,4,Strains,soft
par,IBL00503,5,Strains,soft
par,IBL01259,5,Strains,soft
par,IBL01313,5,Strains,soft
par,IBL01677,2,Strains,soft
par,IBL02897,9,Strains,soft
par,IBL03111,5,Strains,soft
par,IC1,1,Strains,soft
par,IE-1,1,Strains,soft
par,IHBB 10380,1,Strains,soft
par,IMBL-B9,5,Strains,soft
par,INA67,1,Strains,soft
par,INTA Fr7-4,3,Strains,soft
par,INTA H4-3,1,Strains,soft
par,INTA Mo1-10,1,Strains,soft
par,INTA Mo1-12,2,Strains,soft
par,IPL7,2,Strains,soft
par,IS5056,6,Strains,soft
par,ISP2954,3,Strains,soft
par,J8,1,Strains,soft
par,jegathesan 367,5,Strains,soft
par,JF19-2,1,Strains,soft
par,JHCC4835,1,Strains,soft
par,JSc1,1,Strains,soft
par,K1,3,Strains,soft
par,K26-21,1,Strains,soft
par,K3,2,Strains,soft
par,KBAB4,1,Strains,soft
par,Kenyae 4a4c,1,Strains,soft
par,kn11,5,Strains,soft
par,KNU-25,5,Strains,soft
par,kunthalaRX24,1,Strains,soft
par,kunthalaRX27,1,Strains,soft
par,kunthalaRX28,1,Strains,soft
par,L-7601,3,Strains,soft
par,LB-R-78,1,Strains,soft
par,LBIC-004,1,Strains,soft
