Component,Host_type,Num_sp,Comp_type,Num_strains,Num_hosts,Num_events,Num_tox_types
151,Unknown,1,All,1,0,0,1
152,Unknown,1,All,1,0,1,1
152,Unknown,1,Rec,1,0,1,1
153,Coleoptera,2,All,2,1,0,2
154,Diptera,1,All,1,1,0,1
155,Unknown,1,All,1,0,0,1
156,Unknown,1,All,1,0,0,1
157,Unknown,1,All,1,0,1,1
157,Unknown,1,Rec,1,0,1,1
158,Coleoptera,1,All,1,1,0,1
159,Lepidoptera,20,All,1,1,1,1
159,Lepidoptera,20,Rec,1,1,1,1
160,Unknown,1,All,1,0,0,2
161,Lepidoptera,4,All,1,1,0,1
162,Diptera,3,All,1,1,2,5
162,Diptera,3,Rec,1,1,2,5
163,Lepidoptera,3,All,1,1,1,1
163,Lepidoptera,3,Rec,1,1,1,1
164,Lepidoptera,1,All,1,1,1,1
164,Lepidoptera,1,Rec,1,1,1,1
165,Unknown,1,All,1,0,0,1
166,Unknown,1,All,1,0,0,3
167,Lepidoptera,4,All,1,1,0,1
168,Nematoda,2,All,1,1,0,1
