Strain/Toxin,Host_sp,Host_order,Ref,Type,Rank
BT_Cry11Aa,Aedes aegypti,Diptera,10.1111/1462-2920.12263,Toxin,3
BT_Cry11Aa,Aedes aegypti,Diptera,10.1111/j.1574-6968.1995.tb07784.x,Toxin,3
BT_Cry11Aa,Anopheles albimanus,Diptera,10.1016/j.jip.2010.03.007,Toxin,3
BT_Cry11Aa,Anopheles stephensi,Diptera,10.1006/jipa.1995.1075,Toxin,3
BT_Cry11Aa,Culex pipiens,Diptera,10.1006/jipa.1995.1075,Toxin,3
BT_Cry11Aa,Culex pipiens,Diptera,doi.org/10.1007/s13355-016-0454-z,Toxin,3
BT_Cry11Aa,Culex quinquefasciatus,Diptera,10.1128/AEM.59.3.815-821.1993,Toxin,3
BT_Cry11Aa,Simulium spp.,Diptera,10.1016/j.jip.2014.07.003,Toxin,3
BT_Cry11Aa,Chironomus tepperi,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Aa,Macrosiphum euphorbiae,Hemiptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Aa,Tipula oleracea,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Ba1,Aedes aegypti,Diptera,10.1128/aem.61.12.4230-4235.1995,Toxin,4
BT_Cry11Ba1,Anopheles albimanus,Diptera,10.1016/S0167-4838(98)00168-X,Toxin,4
BT_Cry11Ba1,Anopheles stephensi,Diptera,10.1128/aem.61.12.4230-4235.1995,Toxin,4
BT_Cry11Ba1,Culex pipiens,Diptera,10.1006/jipa.1995.1075,Toxin,4
BT_Cry11Ba1,Culex quinquefasciatus,Diptera,10.1016/S0167-4838(98)00168-X,Toxin,4
BT_Cry11Ba,Culex pipiens,Diptera,doi.org/10.1007/s13355-016-0454-z,Toxin,3
BT_Cry11Ba,Aedes aegypti,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Ba,Anopheles albimanus,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Ba,Anopheles stephensi,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Ba,Culex quinquefasciatus,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Bb1,Aedes aegypti,Diptera,10.1016/S0167-4838(98)00168-X,Toxin,4
BT_Cry11Bb1,Anopheles albimanus,Diptera,10.1016/S0167-4838(98)00168-X,Toxin,4
BT_Cry11Bb1,Anopheles stephensi,Diptera,10.1078/072320203770865783,Toxin,4
BT_Cry11Bb1,Culex pipiens,Diptera,10.1078/072320203770865783,Toxin,4
BT_Cry11Bb1,Culex quinquefasciatus,Diptera,10.1016/S0167-4838(98)00168-X,Toxin,4
BT_Cry11Bb,Aedes aegypti,Diptera,10.1078/072320203770865783,Toxin,3
BT_Cry11Bb,Anopheles albimanus,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry11Bb,Culex quinquefasciatus,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry12Aa1,Bursaphelenchus xylophilus,Nematoda,10.1016/j.jip.2022.107726,Toxin,4
BT_Cry12Aa1,Pratylenchus spp. ,Nematoda,US5439881A,Toxin,4
BT_Cry13Aa1,Bursaphelenchus xylophilus,Nematoda,10.1016/j.jip.2022.107726,Toxin,4
BT_Cry13Aa1,Panagrellus redivivus,Nematoda,JP4446076B2,Toxin,4
BT_Cry14Aa1,Bursaphelenchus xylophilus,Nematoda,10.1016/j.jip.2022.107726,Toxin,4
BT_Cry14Aa1,Panagrellus redivivus,Nematoda,EP0462721B1,Toxin,4
BT_Cry14Ab1,Caenorhabditis elegans,Nematoda,10.1038/s41467-021-23743-3,Toxin,4
BT_Cry14Ab1,Heterodera glycines,Nematoda,10.1038/s41467-021-23743-3 ,Toxin,4
BT_Cry14Ab1,Heterodera glycines,Nematoda,10.1038/s41467-021-23743-3,Toxin,4
BT_Cry15Aa,Cydia pomonella,Lepidoptera,10.1128/AEM.00752-08,Toxin,3
BT_Cry15Aa,Manduca sexta,Lepidoptera,10.1128/AEM.00752-08,Toxin,3
BT_Cry15Aa,Pieris rapae,Lepidoptera,10.1128/AEM.00752-08,Toxin,3
BT_Cry18Aa1,Melolontha melolontha ,Coleoptera,10.1128/jb.179.13.4336-4341.1997,Toxin,4
BT_Cry19Aa1,Anopheles stephensi,Diptera,10.1128/AEM.63.11.4449-4455.1997,Toxin,4
BT_Cry19Aa1,Culex pipiens,Diptera,10.1128/AEM.63.11.4449-4455.1997,Toxin,4
BT_Cry19Aa,Anopheles stephensi,Diptera,10.1128/aem.63.11.4449-4455.1997,Toxin,3
BT_Cry19Aa,Culex pipiens,Diptera,10.1128/aem.63.11.4449-4455.1997,Toxin,3
BT_Cry19Ba1,Culex pipiens molestus,Diptera,10.1016/s0723-2020(98)80022-2,Toxin,4
BT_Cry1Aa10,Plutella xylostella,Lepidoptera,10.1023/A:1022180315462,Toxin,4
BT_Cry1Aa22,Ephestia kuehniella,Lepidoptera,10.1007/s00203-014-0981-3,Toxin,4
BT_Cry1Aa5,Adoxophyes sp.,Lepidoptera,10.1271/bbb.58.830,Toxin,4
BT_Cry1Aa5,Bombyx mori,Lepidoptera,10.1271/bbb.58.830,Toxin,4
BT_Cry1Aa5,Plutella xylostella,Lepidoptera,10.1271/bbb.58.830,Toxin,4
BT_Cry1Aa,Agrotis ipsilon,Lepidoptera,10.1007/s00203-003-0543-6,Toxin,3
BT_Cry1Aa,Anticarsia gemmatalis,Lepidoptera,10.1155/2013/940284,Toxin,3
BT_Cry1Aa,Anticarsia gemmatalis,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Aa,Bombyx mori,Lepidoptera,10.1271/bbb.57.200,Toxin,3
BT_Cry1Aa,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Aa,Chilo partellus,Lepidoptera,10.1111/j.1472-765X.2010.02856.x,Toxin,3
BT_Cry1Aa,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
