ID	Num_tox	Tox_type	Domain	Unknown_type	Dataset
54	1	Majs	domain3	no	filt_partials
54	1	Recs	domain3	no	raw_data
54	3	Mins	domain3	no	raw_data
54	1	Majs	domain3	no	raw_data
55	2	Recs	domain2	no	filt_partials
55	2	Mins	domain2	no	filt_partials
55	1	Majs	domain2	no	filt_partials
55	2	Recs	domain2	no	raw_data
55	2	Mins	domain2	no	raw_data
55	1	Majs	domain2	no	raw_data
56	1	Recs	domain1	minor	filt_partials
56	0	Mins	domain1	minor	filt_partials
56	2	Majs	domain1	minor	filt_partials
56	1	Recs	domain1	minor	raw_data
56	0	Mins	domain1	minor	raw_data
56	2	Majs	domain1	minor	raw_data
57	2	Recs	domain2	major	filt_partials
57	2	Mins	domain2	major	filt_partials
57	0	Majs	domain2	major	filt_partials
57	2	Recs	domain2	major	raw_data
57	2	Mins	domain2	major	raw_data
57	0	Majs	domain2	major	raw_data
58	1	Recs	domain1	no	filt_partials
58	1	Mins	domain1	no	filt_partials
58	1	Majs	domain1	no	filt_partials
58	1	Recs	domain1	no	raw_data
58	1	Mins	domain1	no	raw_data
58	1	Majs	domain1	no	raw_data
59	2	Recs	domain3	minor	filt_partials
59	0	Mins	domain3	minor	filt_partials
59	1	Majs	domain3	minor	filt_partials
59	2	Recs	domain3	minor	raw_data
59	0	Mins	domain3	minor	raw_data
59	1	Majs	domain3	minor	raw_data
60	2	Recs	domain3	no	filt_partials
60	1	Mins	domain3	no	filt_partials
60	1	Majs	domain3	no	filt_partials
60	2	Recs	domain3	no	raw_data
60	1	Mins	domain3	no	raw_data
60	1	Majs	domain3	no	raw_data
61	1	Recs	domain1	no	raw_data
61	2	Mins	domain1	no	raw_data
61	11	Majs	domain1	no	raw_data
62	1	Recs	domain1	no	filt_partials
62	1	Mins	domain1	no	filt_partials
62	1	Majs	domain1	no	filt_partials
62	1	Recs	domain1	no	raw_data
62	1	Mins	domain1	no	raw_data
62	1	Majs	domain1	no	raw_data
63	1	Recs	domain1	major	filt_partials
63	2	Mins	domain1	major	filt_partials
63	0	Majs	domain1	major	filt_partials
63	1	Recs	domain1	major	raw_data
63	2	Mins	domain1	major	raw_data
63	0	Majs	domain1	major	raw_data
64	2	Recs	domain3	major	raw_data
64	1	Mins	domain3	major	raw_data
64	0	Majs	domain3	major	raw_data
65	2	Recs	domain2	minor	filt_partials
65	0	Mins	domain2	minor	filt_partials
65	1	Majs	domain2	minor	filt_partials
65	2	Recs	domain2	minor	raw_data
65	0	Mins	domain2	minor	raw_data
65	1	Majs	domain2	minor	raw_data
66	1	Recs	domain3	no	filt_partials
66	2	Mins	domain3	no	filt_partials
66	2	Majs	domain3	no	filt_partials
66	1	Recs	domain3	no	raw_data
66	2	Mins	domain3	no	raw_data
66	2	Majs	domain3	no	raw_data
67	1	Recs	domain2	no	filt_partials
67	1	Mins	domain2	no	filt_partials
67	1	Majs	domain2	no	filt_partials
67	1	Recs	domain2	no	raw_data
67	1	Mins	domain2	no	raw_data
67	1	Majs	domain2	no	raw_data
68	1	Recs	domain1	minor	filt_partials
68	0	Mins	domain1	minor	filt_partials
68	1	Majs	domain1	minor	filt_partials
68	1	Recs	domain1	minor	raw_data
68	0	Mins	domain1	minor	raw_data
68	1	Majs	domain1	minor	raw_data
69	1	Recs	domain2	no	filt_partials
69	1	Mins	domain2	no	filt_partials
69	1	Majs	domain2	no	filt_partials
69	1	Recs	domain2	no	raw_data
69	1	Mins	domain2	no	raw_data
69	1	Majs	domain2	no	raw_data
70	1	Recs	domain3	major	filt_partials
70	2	Mins	domain3	major	filt_partials
70	0	Majs	domain3	major	filt_partials
70	1	Recs	domain3	major	raw_data
70	2	Mins	domain3	major	raw_data
70	0	Majs	domain3	major	raw_data
71	1	Recs	domain2	no	filt_partials
71	1	Mins	domain2	no	filt_partials
71	2	Majs	domain2	no	filt_partials
71	1	Recs	domain2	no	raw_data
71	1	Mins	domain2	no	raw_data
71	2	Majs	domain2	no	raw_data
