Num	Tox_type	Domain	Unknown_type	Dataset
0	Maj	domain3	major	filt_tree
1	Rec	domain1	no	filt_tree
1	Min	domain1	no	filt_tree
2	Maj	domain1	no	filt_tree
1	Rec	domain1	no	filt_tree
1	Min	domain1	no	filt_tree
0	Maj	domain1	no	filt_tree
1	Rec	domain1	no	filt_tree
1	Min	domain1	no	filt_tree
1	Maj	domain1	no	filt_tree
2	Rec	domain1	no	filt_tree
2	Min	domain1	no	filt_tree
1	Maj	domain1	no	filt_tree
1	Rec	domain1	no	filt_tree
1	Min	domain1	no	filt_tree
2	Maj	domain1	no	filt_tree
1	Rec	domain1	no	filt_tree
1	Min	domain1	no	filt_tree
1	Maj	domain1	no	filt_tree
2	Rec	domain3	no	filt_tree
1	Min	domain3	no	filt_tree
1	Maj	domain3	no	filt_tree
1	Rec	domain3	major	filt_tree
2	Min	domain3	major	filt_tree
0	Maj	domain3	major	filt_tree
1	Rec	domain2	major	filt_tree
1	Min	domain2	major	filt_tree
0	Maj	domain2	major	filt_tree
1	Rec	domain3	no	filt_tree
