Strain/Toxin	Tox_type	Host_type	Host
NOV_Cry11Aa1_95.8_ABW89741.1	Rank4	Orders	Diptera
NOV_Cry11Aa1_96.3_ABW89742.1	Rank4	Orders	Diptera
NOV_Cry11Aa1_97.8_ABW89740.1	Rank4	Orders	Diptera
NOV_Cry11Aa1_98.8_ABW89738.1	Rank4	Orders	Diptera
NOV_Cry11Aa1_98.9_ABW89739.1	Rank4	Orders	Diptera
NOV_Cry11Aa1_99.5_ABW89737.1	Rank4	Orders	Diptera
NOV_Cry13Aa1_87.1_ANS50148.1	Rank4	Orders	Hemiptera
NOV_Cry14Aa1_41.1_PGW46198.1	Rank4	Orders	Hemiptera
NOV_Cry14Ab1_42.4_PGW46196.1	Rank4	Orders	Coleoptera
NOV_Cry14Ab1_42.4_PGW46196.1	Rank4	Orders	Hemiptera
NOV_Cry1Ab12_91.4_AAK14338.1	Rank4	Orders	Lepidoptera
NOV_Cry1Ab32_92.7_AAK14337.1	Rank4	Orders	Lepidoptera
NOV_Cry1Ai1_99.7_AAS93796.1	Rank4	Orders	Lepidoptera
NOV_Cry1Da1_99.6_ALP83513.1	Rank4	Orders	Lepidoptera
NOV_Cry1Da3_99.9_AMR88578.1	Rank4	Orders	Lepidoptera
NOV_Cry1Fb4_99.8_AMR88428.1	Rank4	Orders	Lepidoptera
NOV_Cry1Hb1_98.0_AMR88562.1	Rank4	Orders	Lepidoptera
NOV_Cry1Ka1_98.4_KIP24267.1	Rank4	Orders	Lepidoptera
NOV_Cry20Ba2_80.0_AGV55017.1	Rank4	Orders	Diptera
NOV_Cry2Ak1_76.8_AX513524.1	Rank4	Orders	Lepidoptera
NOV_Cry2Ba1_29.9_AEX63666.1	Rank4	Orders	Diptera
NOV_Cry3Aa12_81.9_AEZ53144.1	Rank4	Orders	Coleoptera
NOV_Cry40Aa1_67.9_CQ868314.1	Rank4	Orders	Lepidoptera
NOV_Cry40Aa1_67.9_CQ868314.1	Rank4	Orders	Coleoptera
NOV_Cry40Da1_65.0_CAH33957.1 	Rank4	Orders	Lepidoptera
NOV_Cry48Aa1_36.6_CAH33948.1	Rank4	Orders	Lepidoptera
NOV_Cry48Aa1_36.6_CAH33948.1	Rank4	Orders	Hemiptera
NOV_Cry48Aa1_36.9_CAH33950.1	Rank4	Orders	Lepidoptera
NOV_Cry48Aa1_36.9_CAH33950.1	Rank4	Orders	Hemiptera
NOV_Cry4Ba1_96.9_ABR22239.1	Rank4	Orders	Diptera
NOV_Cry4Ba1_98.1_ABR22240.1	Rank4	Orders	Diptera
NOV_Cry4Ba1_98.5_ABR22238.1	Rank4	Orders	Diptera
NOV_Cry4Ba1_98.9_ABR22236.1	Rank4	Orders	Diptera
NOV_Cry4Ba1_98.9_ABR22237.1	Rank4	Orders	Diptera
NOV_Cry4Ba1_99.6_ABR22235.1	Rank4	Orders	Diptera
NOV_Cry53Ab1_40.0_CAH33955.1	Rank4	Orders	Lepidoptera
NOV_Cry53Ab1_40.0_CAH33955.1	Rank4	Orders	Coleoptera
NOV_Cry53Ab1_40.0_CAH33955.1	Rank4	Orders	Hemiptera
NOV_Cry56Aa2_56.0_AGV55019.1	Rank4	Orders	Diptera
NOV_Cry69Ab1_58.0_PER42111.1	Rank4	Orders	Hemiptera
NOV_Cry71Aa1_65.9_PER41598.1	Rank4	Orders	Lepidoptera
NOV_Cry7Ha1_99.5_ADA48966.1	Rank4	Orders	Coleoptera
NOV_Cry9Db1_99.9_ACS12637.1	Rank4	Orders	Lepidoptera
NOV_Cry9Ga1_57.2_PER39584.1	Rank4	Orders	Lepidoptera
NOV_Cry9Ga1_57.2_PER39584.1	Rank4	Orders	Hemiptera
BT_Cry1Ca15	Rank4	Orders	Lepidoptera
BT_Cry1Ie2	Rank4	Orders	Lepidoptera
BT_Cry3Aa12	Rank4	Orders	Coleoptera
BT_Cry11Aa1	Rank4	Species	Culex pipiens
BT_Cry11Aa1	Rank4	Species	Chironomus tepperi
BT_Cry11Aa1	Rank4	Species	Culex quinquefasciatus
BT_Cry11Aa1	Rank4	Species	Aedes aegypti
BT_Cry11Aa1	Rank4	Species	Anopheles stephensi
BT_Cry11Aa1	Rank4	Species	Anopheles albimanus
BT_Cry11Aa1	Rank4	Species	Tipula oleracea
BT_Cry11Ba1	Rank4	Species	Culex pipiens
BT_Cry11Ba1	Rank4	Species	Culex quinquefasciatus
BT_Cry11Ba1	Rank4	Species	Aedes aegypti
BT_Cry11Ba1	Rank4	Species	Anopheles stephensi
BT_Cry11Ba1	Rank4	Species	Anopheles albimanus
BT_Cry11Bb1	Rank4	Species	Culex pipiens
BT_Cry11Bb1	Rank4	Species	Culex quinquefasciatus
BT_Cry11Bb1	Rank4	Species	Aedes aegypti
BT_Cry11Bb1	Rank4	Species	Anopheles stephensi
BT_Cry11Bb1	Rank4	Species	Anopheles albimanus
BT_Cry12Aa1	Rank4	Species	Bursaphelenchus xylophilus
BT_Cry12Aa1	Rank4	Species	Pratylenchus spp. 
BT_Cry13Aa1	Rank4	Species	Bursaphelenchus xylophilus
BT_Cry13Aa1	Rank4	Species	Panagrellus redivivus
BT_Cry14Aa1	Rank4	Species	Bursaphelenchus xylophilus
BT_Cry14Aa1	Rank4	Species	Panagrellus redivivus
BT_Cry14Ab1	Rank4	Species	Caenorhabditis elegans
BT_Cry14Ab1	Rank4	Species	Heterodera glycines
BT_Cry18Aa1	Rank4	Species	Melolontha melolontha 
BT_Cry19Aa1	Rank4	Species	Anopheles stephensi
BT_Cry19Aa1	Rank4	Species	Culex pipiens
BT_Cry19Ba1	Rank4	Species	Culex pipiens molestus
BT_Cry1Aa10	Rank4	Species	Plutella xylostella
BT_Cry1Aa22	Rank4	Species	Ephestia kuehniella
BT_Cry1Aa5	Rank4	Species	Bombyx mori
BT_Cry1Aa5	Rank4	Species	Adoxophyes sp.
BT_Cry1Aa5	Rank4	Species	Plutella xylostella
BT_Cry1Ab16	Rank4	Species	Plutella xylostella
BT_Cry1Ab17	Rank4	Species	Plutella xylostella
BT_Cry1Ab18	Rank4	Species	Spodoptera frugiperda
BT_Cry1Ab18	Rank4	Species	Manduca sexta
BT_Cry1Ab1	Rank4	Species	Helicoverpa punctigera
BT_Cry1Ab1	Rank4	Species	Helicoverpa armigera
BT_Cry1Ab21	Rank4	Species	Trichoplusia ni
BT_Cry1Ab26	Rank4	Species	Helicoverpa armigera
BT_Cry1Ab2	Rank4	Species	Lymantria dispar
BT_Cry1Ab2	Rank4	Species	Manduca sexta
BT_Cry1Ab34	Rank4	Species	Ostrinia nubilalis
BT_Cry1Ab34	Rank4	Species	Diatraea grandiosella
BT_Cry1Ab34	Rank4	Species	Plutella xylostella
BT_Cry1Ab5	Rank4	Species	Ostrinia nubilalis
BT_Cry1Ab5	Rank4	Species	Helicoverpa armigera
BT_Cry1Ab6	Rank4	Species	Lymantria dispar
BT_Cry1Ab6	Rank4	Species	Choristoneura fumiferana
BT_Cry1Ab7	Rank4	Species	Aedes aegypti
BT_Cry1Ab7	Rank4	Species	Pieris brassicae
BT_Cry1Ac17	Rank4	Species	Spodoptera litura
BT_Cry1Ac1	Rank4	Species	Glossina morsitans
BT_Cry1Ac22	Rank4	Species	Plutella xylostella
BT_Cry1Ac24	Rank4	Species	Tecia solanivora
BT_Cry1Ac2	Rank4	Species	Ostrinia nubilalis
BT_Cry1Ac2	Rank4	Species	Helicoverpa zea
BT_Cry1Ac2	Rank4	Species	Trichoplusia ni
BT_Cry1Ac2	Rank4	Species	Heliothis virescens
BT_Cry1Ac2	Rank4	Species	Lymantria dispar
BT_Cry1Ac2	Rank4	Species	Plutella xylostella
BT_Cry1Ac39	Rank4	Species	Trichoplusia ni
BT_Cry1Ac39	Rank4	Species	Manduca sexta
BT_Cry1Ac4	Rank4	Species	Helicoverpa armigera
BT_Cry1Ad1	Rank4	Species	Choristoneura occidentalis
BT_Cry1Ad1	Rank4	Species	Spodoptera exigua
BT_Cry1Ad1	Rank4	Species	Plutella xylostella
BT_Cry1Af1	Rank4	Species	Plutella xylostella
BT_Cry1Ah1	Rank4	Species	Plutella xylostella
BT_Cry1Ah1	Rank4	Species	Chilo suppressalis
BT_Cry1Ah1	Rank4	Species	Ostrinia furnacalis
BT_Cry1Ah1	Rank4	Species	Helicoverpa armigera
BT_Cry1Ah2	Rank4	Species	Plutella xylostella
BT_Cry1Ai1	Rank4	Species	Ostrinia furnacalis
BT_Cry1Ai1	Rank4	Species	Chilo suppressalis
BT_Cry1Ai1	Rank4	Species	Bombyx mori
BT_Cry1Ai1	Rank4	Species	Hyphantria cunea
BT_Cry1Ai1	Rank4	Species	Plutella xylostella
BT_Cry1Aj1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Aj1	Rank4	Species	Plutella xylostella
BT_Cry1Aj1	Rank4	Species	Helicoverpa armigera
BT_Cry1Ba1	Rank4	Species	Acanthoscelides obtectus 
BT_Cry1Ba1	Rank4	Species	Choristoneura fumiferana
BT_Cry1Ba1	Rank4	Species	Xylotrechus arvicola
BT_Cry1Ba1	Rank4	Species	Chrysomela scripta
BT_Cry1Ba1	Rank4	Species	Musca domestica
BT_Cry1Ba1	Rank4	Species	Manduca sexta
BT_Cry1Ba1	Rank4	Species	Plutella xylostella
BT_Cry1Ba3	Rank4	Species	Plutella xylostella
BT_Cry1Ba6	Rank4	Species	Anthonomus grandis
BT_Cry1Bb1	Rank4	Species	Spodoptera frugiperda
BT_Cry1Bb1	Rank4	Species	Manduca sexta
BT_Cry1Bb2	Rank4	Species	Plutella xylostella
BT_Cry1Bc1	Rank4	Species	Chrysomya albiceps
BT_Cry1Bc1	Rank4	Species	Musca domestica
BT_Cry1Bc1	Rank4	Species	Lucilia cuprina
BT_Cry1Bd1	Rank4	Species	Plutella xylostella
BT_Cry1Bf1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Bf1	Rank4	Species	Heliothis virescens
BT_Cry1Bf1	Rank4	Species	Sesamia nonagrioides
BT_Cry1Bf2	Rank4	Species	Trichoplusia ni
BT_Cry1Bf2	Rank4	Species	Ostrinia furnacalis
BT_Cry1Bf2	Rank4	Species	Plutella xylostella
BT_Cry1Bh1	Rank4	Species	Helicoverpa zea
BT_Cry1Bh1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Bh1	Rank4	Species	Heliothis virescens
BT_Cry1Bh1	Rank4	Species	Diabrotica virgifera virgifera
BT_Cry1Bh1	Rank4	Species	Plutella xylostella
BT_Cry1Bi1	Rank4	Species	Anticarsia gemmatalis
BT_Cry1Bi1	Rank4	Species	Heliothis virescens
BT_Cry1Bi1	Rank4	Species	Diatraea grandiosella
BT_Cry1Bj1	Rank4	Species	Anticarsia gemmatalis
BT_Cry1Bj1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Bj1	Rank4	Species	Chrysodeixis includens
BT_Cry1Ca16	Rank4	Species	Aedes aegypti
BT_Cry1Ca1	Rank4	Species	Spodoptera littoralis
BT_Cry1Ca1	Rank4	Species	Aedes aegypti
BT_Cry1Ca1	Rank4	Species	Anopheles gambiae
BT_Cry1Ca1	Rank4	Species	Culex quinquefasciatus
BT_Cry1Ca2	Rank4	Species	Mamestra brassicae
BT_Cry1Ca2	Rank4	Species	Spodoptera littoralis
BT_Cry1Ca2	Rank4	Species	Choristoneura fumiferana
BT_Cry1Ca2	Rank4	Species	Lymantria dispar
BT_Cry1Ca2	Rank4	Species	Bombyx mori
BT_Cry1Ca2	Rank4	Species	Spodoptera exigua
BT_Cry1Cb1	Rank4	Species	Myzus persicae
BT_Cry1Da1	Rank4	Species	Spodoptera littoralis
BT_Cry1Da1	Rank4	Species	Choristoneura fumiferana
BT_Cry1Da1	Rank4	Species	Lymantria dispar
BT_Cry1Da1	Rank4	Species	Pectinophora gossypiella
BT_Cry1Da1	Rank4	Species	Bombyx mori
BT_Cry1Da1	Rank4	Species	Spodoptera exigua
BT_Cry1Da1	Rank4	Species	Spodoptera litura
BT_Cry1Da1	Rank4	Species	Sesamia inferens
BT_Cry1Da1	Rank4	Species	Manduca sexta
BT_Cry1Dd1	Rank4	Species	Plutella xylostella
BT_Cry1Dd1	Rank4	Species	Helicoverpa armigera
BT_Cry1Ea11	Rank4	Species	Bursaphelenchus xylophilus
BT_Cry1Ea1	Rank4	Species	Bombyx mori
BT_Cry1Ea1	Rank4	Species	Choristoneura fumiferana
BT_Cry1Eb1	Rank4	Species	Spodoptera exigua
BT_Cry1Eb1	Rank4	Species	Trichoplusia ni
BT_Cry1Eb1	Rank4	Species	Plutella xylostella
BT_Cry1Fa1	Rank4	Species	Bombyx mori
BT_Cry1Fa1	Rank4	Species	Choristoneura fumiferana
BT_Cry1Fb1	Rank4	Species	Agrotis ipsilon
BT_Cry1Gb1	Rank4	Species	Pieris rapae
BT_Cry1Gc1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Gc1	Rank4	Species	Agrotis ipsilon
BT_Cry1Gc1	Rank4	Species	Trichoplusia ni
BT_Cry1Gc1	Rank4	Species	Plutella xylostella
BT_Cry1Hb1	Rank4	Species	Arfogeia rapae
BT_Cry1Hc1	Rank4	Species	Plutella xylostella
BT_Cry1Hc1	Rank4	Species	Helicoverpa armigera
BT_Cry1Ia10	Rank4	Species	Caenorhabditis elegans
BT_Cry1Ia12	Rank4	Species	Spodoptera frugiperda
BT_Cry1Ia12	Rank4	Species	Anthonomus grandis
BT_Cry1Ia13	Rank4	Species	Spodoptera frugiperda
BT_Cry1Ia13	Rank4	Species	Anthonomus grandis
BT_Cry1Ia1	Rank4	Species	Phthorimaea operculella
BT_Cry1Ia3	Rank4	Species	Bombyx mori
BT_Cry1Ia3	Rank4	Species	Plutella xylostella
BT_Cry1Ia7	Rank4	Species	Leptinotarsa decemlineata
BT_Cry1Ia7	Rank4	Species	Acanthoscelides obtectus 
BT_Cry1Ia7	Rank4	Species	Lobesia botrana
BT_Cry1Ia7	Rank4	Species	Earias insulana
BT_Cry1Ia7	Rank4	Species	Xylotrechus arvicola
BT_Cry1Ia7	Rank4	Species	Plutella xylostella
BT_Cry1Ia8	Rank4	Species	Plutella xylostella
BT_Cry1Ib6	Rank4	Species	Plutella xylostella
BT_Cry1Ic1	Rank4	Species	Diabrotica virgifera virgifera
BT_Cry1Id1	Rank4	Species	Bombyx mori
BT_Cry1Id1	Rank4	Species	Plutella xylostella
BT_Cry1Ie1	Rank4	Species	Leguminivora glycinivorella
BT_Cry1Ie1	Rank4	Species	Ostrinia furnacalis
BT_Cry1Ie1	Rank4	Species	Plutella xylostella
BT_Cry1Ie4	Rank4	Species	Diatraea grandiosella
BT_Cry1Ie4	Rank4	Species	Plutella xylostella
BT_Cry1Ie5	Rank4	Species	Ostrinia nubilalis
BT_Cry1Ie5	Rank4	Species	Plutella xylostella
BT_Cry1If1	Rank4	Species	Helicoverpa zea
BT_Cry1Ig1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Ig1	Rank4	Species	Diatraea grandiosella
BT_Cry1Ig1	Rank4	Species	Plutella xylostella
BT_Cry1Ja1	Rank4	Species	Helicoverpa armigera
BT_Cry1Ja2	Rank4	Species	Spodoptera frugiperda
BT_Cry1Ja2	Rank4	Species	Manduca sexta
BT_Cry1Ja2	Rank4	Species	Plutella xylostella
BT_Cry1Jb1	Rank4	Species	Plutella xylostella
BT_Cry1Jb1	Rank4	Species	Helicoverpa armigera
BT_Cry1Jc2	Rank4	Species	Helicoverpa zea
BT_Cry1Jc2	Rank4	Species	Agrotis ipsilon
BT_Cry1Jc2	Rank4	Species	Trichoplusia ni
BT_Cry1Jc2	Rank4	Species	Ostrinia furnacalis
BT_Cry1Jc2	Rank4	Species	Heliothis virescens
BT_Cry1Jc2	Rank4	Species	Plutella xylostella
BT_Cry1Jd1	Rank4	Species	Heliothis virescens
BT_Cry1La1	Rank4	Species	Spodoptera exigua
BT_Cry1La1	Rank4	Species	Plutella xylostella
BT_Cry1Na1	Rank4	Species	Helicoverpa zea
BT_Cry1Na1	Rank4	Species	Agrotis ipsilon
BT_Cry1Na1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Na1	Rank4	Species	Trichoplusia ni
BT_Cry1Na1	Rank4	Species	Heliothis virescens
BT_Cry1Na1	Rank4	Species	Pectinophora gossypiella
BT_Cry1Na1	Rank4	Species	Spodoptera frugiperda
BT_Cry1Na1	Rank4	Species	Lygus lineolaris
BT_Cry1Na1	Rank4	Species	Manduca sexta
BT_Cry1Na3	Rank4	Species	Ostrinia furnacalis
BT_Cry1Na3	Rank4	Species	Laodelphax striatellus
BT_Cry1Na3	Rank4	Species	Colaphellus bowringi
BT_Cry1Na3	Rank4	Species	Spodoptera exigua
BT_Cry1Na3	Rank4	Species	Plutella xylostella
BT_Cry1Nb1	Rank4	Species	Anticarsia gemmatalis
BT_Cry1Nb1	Rank4	Species	Ostrinia nubilalis
BT_Cry1Nb1	Rank4	Species	Diatraea grandiosella
BT_Cry1Nb1	Rank4	Species	Plutella xylostella
BT_Cry20Aa1	Rank4	Species	Aedes aegypti
BT_Cry20Aa1	Rank4	Species	Culex quinquefasciatus
BT_Cry20Ba2	Rank4	Species	Plutella xylostella
BT_Cry21Aa1	Rank4	Species	Heligmosomoides polygyrus bakeri
BT_Cry21Aa1	Rank4	Species	Panagrellus redivivus
BT_Cry21Aa1	Rank4	Species	Distolabrellus veechi
BT_Cry21Aa1	Rank4	Species	Nippostrongylus brasiliensis
BT_Cry21Aa1	Rank4	Species	Caenorhabditis elegans
BT_Cry21Aa1	Rank4	Species	Acrobeloides sp
BT_Cry21Aa2	Rank4	Species	Caenorhabditis elegans
BT_Cry21Aa3	Rank4	Species	Bursaphelenchus xylophilus
BT_Cry21Aa3	Rank4	Species	Caenorhabditis elegans
BT_Cry21Fa1	Rank4	Species	Bursaphelenchus xylophilus
BT_Cry21Fa1	Rank4	Species	Caenorhabditis elegans
BT_Cry24Ca1	Rank4	Species	Aedes aegypti
BT_Cry27Aa1	Rank4	Species	Culex pipiens molestus
BT_Cry27Aa1	Rank4	Species	Aedes aegypti
BT_Cry27Aa1	Rank4	Species	Anopheles stephensi
BT_Cry2Aa11	Rank4	Species	Spodoptera frugiperda
BT_Cry2Aa11	Rank4	Species	Trichoplusia ni
BT_Cry2Aa11	Rank4	Species	Heliothis virescens
BT_Cry2Aa12	Rank4	Species	Pieris rapae
BT_Cry2Aa12	Rank4	Species	Chilo suppressalis
BT_Cry2Aa12	Rank4	Species	Plutella xylostella
BT_Cry2Aa13	Rank4	Species	Tecia solanivora
BT_Cry2Aa14	Rank4	Species	Culex quinquefasciatus
BT_Cry2Aa17	Rank4	Species	Spodoptera exigua
BT_Cry2Aa18	Rank4	Species	Culex pipiens
BT_Cry2Aa1	Rank4	Species	Trichoplusia ni
BT_Cry2Aa1	Rank4	Species	Helicoverpa armigera
BT_Cry2Aa1	Rank4	Species	Helicoverpa punctigera
BT_Cry2Aa1	Rank4	Species	Heliothis virescens
BT_Cry2Aa1	Rank4	Species	Culex quinquefasciatus
BT_Cry2Aa1	Rank4	Species	Aedes aegypti
BT_Cry2Aa3	Rank4	Species	Lymantria dispar
BT_Cry2Aa3	Rank4	Species	Bombyx mori
BT_Cry2Aa4	Rank4	Species	Culex quinquefasciatus
BT_Cry2Aa4	Rank4	Species	Aedes aegypti
BT_Cry2Aa4	Rank4	Species	Anopheles stephensi
BT_Cry2Ab10	Rank4	Species	Plutella xylostella
BT_Cry2Ab13	Rank4	Species	Pieris rapae
BT_Cry2Ab13	Rank4	Species	Aedes aegypti
BT_Cry2Ab14	Rank4	Species	Pieris rapae
BT_Cry2Ab14	Rank4	Species	Aedes aegypti
BT_Cry2Ab1	Rank4	Species	Helicoverpa zea
BT_Cry2Ab1	Rank4	Species	Diatraea saccharalis
BT_Cry2Ab1	Rank4	Species	Heliothis virescens
BT_Cry2Ab1	Rank4	Species	Pectinophora gossypiella
BT_Cry2Ab1	Rank4	Species	Spodoptera frugiperda
BT_Cry2Ab1	Rank4	Species	Spodoptera exigua
BT_Cry2Ab1	Rank4	Species	Anopheles gambiae
BT_Cry2Ab25	Rank4	Species	Malacosoma neustria
BT_Cry2Ab25	Rank4	Species	Rhagoletis cerasi
BT_Cry2Ab29	Rank4	Species	Spodoptera exigua
BT_Cry2Ab30	Rank4	Species	Plutella xylostella
BT_Cry2Ab32	Rank4	Species	Ostrinia nubilalis
BT_Cry2Ab32	Rank4	Species	Plutella xylostella
BT_Cry2Ab32	Rank4	Species	Helicoverpa armigera
BT_Cry2Ab4	Rank4	Species	Chilo suppressalis
BT_Cry2Ab4	Rank4	Species	Leguminivora glycinivorella
BT_Cry2Ab4	Rank4	Species	Plutella xylostella
BT_Cry2Ab4	Rank4	Species	Helicoverpa armigera
BT_Cry2Ab7	Rank4	Species	Helicoverpa armigera
BT_Cry2Ac10	Rank4	Species	Mythimna separata
BT_Cry2Ac10	Rank4	Species	Helicoverpa armigera
BT_Cry2Ac11	Rank4	Species	Aedes aegypti
BT_Cry2Ac1	Rank4	Species	Helicoverpa punctigera
BT_Cry2Ac1	Rank4	Species	Helicoverpa armigera
BT_Cry2Ac3	Rank4	Species	Helicoverpa zea
BT_Cry2Ac3	Rank4	Species	Trichoplusia ni
BT_Cry2Ac3	Rank4	Species	Heliothis virescens
BT_Cry2Ac3	Rank4	Species	Ostrinia furnacalis
BT_Cry2Ac5	Rank4	Species	Aedes albifasciatus
BT_Cry2Ac7	Rank4	Species	Helicoverpa armigera
BT_Cry2Ae1	Rank4	Species	Spodoptera frugiperda
BT_Cry2Ae1	Rank4	Species	Ostrinia nubilalis
BT_Cry2Ae1	Rank4	Species	Helicoverpa zea
BT_Cry2Ae1	Rank4	Species	Heliothis virescens
BT_Cry2Ag1	Rank4	Species	Pieris rapae
BT_Cry2Ag1	Rank4	Species	Aedes aegypti
BT_Cry2Ah4	Rank4	Species	Anticarsia gemmatalis
BT_Cry2Ah4	Rank4	Species	Helicoverpa zea
BT_Cry2Ah4	Rank4	Species	Heliothis virescens
BT_Cry2Ah4	Rank4	Species	Diatraea grandiosella
BT_Cry2Ak1	Rank4	Species	Ostrinia nubilalis
BT_Cry2Ak1	Rank4	Species	Helicoverpa zea
BT_Cry2Ak1	Rank4	Species	Anticarsia gemmatalis
BT_Cry2Ak1	Rank4	Species	Heliothis virescens
BT_Cry2Ak1	Rank4	Species	Spodoptera frugiperda
BT_Cry2Al1	Rank4	Species	Spodoptera litura
BT_Cry2Al1	Rank4	Species	Helicoverpa armigera
BT_Cry2Am1	Rank4	Species	Aedes aegypti
BT_Cry2Ba1	Rank4	Species	Anticarsia gemmatalis
BT_Cry2Ba1	Rank4	Species	Helicoverpa zea
BT_Cry2Ba1	Rank4	Species	Spodoptera frugiperda
BT_Cry2Ba1	Rank4	Species	Heliothis virescens
BT_Cry30Fa1	Rank4	Species	Aedes aegypti
BT_Cry30Fa1	Rank4	Species	Spodoptera exigua
BT_Cry30Fa1	Rank4	Species	Plutella xylostella
BT_Cry30Fa1	Rank4	Species	Helicoverpa armigera
BT_Cry30Ga1	Rank4	Species	Aedes aegypti
BT_Cry30Ga1	Rank4	Species	Plutella xylostella
BT_Cry31Aa1	Rank4	Species	Human cancer cells
BT_Cry31Aa6	Rank4	Species	Human cancer cells
BT_Cry31Ab1	Rank4	Species	Human cancer cells
BT_Cry31Ac1	Rank4	Species	Human cancer cells
BT_Cry31Ad1	Rank4	Species	Human cancer cells
BT_Cry32Aa1	Rank4	Species	Plutella xylostella
BT_Cry32Eb1	Rank4	Species	Caenorhabditis elegans
BT_Cry32Ha1	Rank4	Species	Plutella xylostella
BT_Cry32Hb1	Rank4	Species	Ostrinia nubilalis
BT_Cry32Hb1	Rank4	Species	Plutella xylostella
BT_Cry32Sa1	Rank4	Species	Plutella xylostella
BT_Cry39Aa1	Rank4	Species	Anopheles stephensi
BT_Cry39Aa1	Rank4	Species	Culex pipiens
BT_Cry3Aa10	Rank4	Species	Apriona germari
BT_Cry3Aa11	Rank4	Species	Leptinotarsa decemlineata
BT_Cry3Aa11	Rank4	Species	Agelastica alni
BT_Cry3Aa11	Rank4	Species	Amphimallon solstitiale
BT_Cry3Aa11	Rank4	Species	Melolontha melolontha
BT_Cry3Aa1	Rank4	Species	Colaphellus bowringi
BT_Cry3Aa1	Rank4	Species	Pyrrhalta aenescens
BT_Cry3Aa8	Rank4	Species	Plagiodera versicolora
BT_Cry3Ba1	Rank4	Species	Cyclocephala pasadenae
BT_Cry3Ba1	Rank4	Species	Cyclocephala borealis
BT_Cry3Ba2	Rank4	Species	Cylas puncticollis
BT_Cry3Ba2	Rank4	Species	Cylas brunneus
BT_Cry3Bb1	Rank4	Species	Leptinotarsa decemlineata
BT_Cry3Bb1	Rank4	Species	Diabrotica undecimpunctata howardi
BT_Cry3Bb3	Rank4	Species	Cylas puncticollis
BT_Cry3Bb3	Rank4	Species	Cylas brunneus
BT_Cry3Ca1	Rank4	Species	Leptinotarsa decemlineata
BT_Cry3Ca1	Rank4	Species	Cylas puncticollis
BT_Cry3Ca1	Rank4	Species	Cylas brunneus
BT_Cry40Da1	Rank4	Species	Culex quinquefasciatus
BT_Cry41Aa1	Rank4	Species	Human cancer cells
BT_Cry41Ab1	Rank4	Species	Myzus persicae
BT_Cry41Ab1	Rank4	Species	Human cancer cells
BT_Cry42Aa1	Rank4	Species	Human cancer cells
BT_Cry43Aa1	Rank4	Species	Anomala cuprea
BT_Cry43Ba1	Rank4	Species	Anomala cuprea
BT_Cry43Ca1	Rank4	Species	Leptinotarsa decemlineata
BT_Cry43Ca1	Rank4	Species	Plutella xylostella
BT_Cry43Cb1	Rank4	Species	Leptinotarsa decemlineata
BT_Cry43Cb1	Rank4	Species	Ostrinia nubilalis
BT_Cry43Cb1	Rank4	Species	Plutella xylostella
BT_Cry44Aa1	Rank4	Species	Aedes aegypti
BT_Cry44Aa1	Rank4	Species	Culex pipiens pallens
BT_Cry44Aa1	Rank4	Species	Anopheles stephensi
BT_Cry47Aa1	Rank4	Species	Lucilia cuprina
BT_Cry48Aa1	Rank4	Species	Culex quinquefasciatus
BT_Cry4Aa1	Rank4	Species	Aedes aegypti
BT_Cry4Aa1	Rank4	Species	Anopheles gambiae
BT_Cry4Aa1	Rank4	Species	Culex quinquefasciatus
BT_Cry4Ba1	Rank4	Species	Culex pipiens
BT_Cry4Ba1	Rank4	Species	Tipula oleracea
BT_Cry4Ba1	Rank4	Species	Chironomus tepperi
BT_Cry4Ba1	Rank4	Species	Culex quinquefasciatus
BT_Cry4Ba1	Rank4	Species	Aedes aegypti
BT_Cry4Ba1	Rank4	Species	Anopheles albimanus
BT_Cry4Ba1	Rank4	Species	Anopheles quadrimaculatus
BT_Cry4Ba1	Rank4	Species	Anopheles gambiae
BT_Cry4Ba2	Rank4	Species	Aedes aegypti
BT_Cry4Ba6	Rank4	Species	Culex pipiens
BT_Cry4Cb1	Rank4	Species	Aedes aegypti
BT_Cry4Cb1	Rank4	Species	Spodoptera exigua
BT_Cry4Cb1	Rank4	Species	Helicoverpa armigera
BT_Cry4Cb2	Rank4	Species	Aedes aegypti
BT_Cry4Cb2	Rank4	Species	Spodoptera exigua
BT_Cry4Cb2	Rank4	Species	Helicoverpa armigera
BT_Cry4Cb3	Rank4	Species	Culex quinquefasciatus
BT_Cry4Cc1	Rank4	Species	Aedes aegypti
BT_Cry4Cc1	Rank4	Species	Spodoptera exigua
BT_Cry4Cc1	Rank4	Species	Helicoverpa armigera
BT_Cry52Ba1	Rank4	Species	Aedes aegypti
BT_Cry52Ca1	Rank4	Species	Helicoverpa armigera
BT_Cry53Ab1	Rank4	Species	Aedes aegypti
BT_Cry53Ab1	Rank4	Species	Spodoptera exigua
BT_Cry53Ab1	Rank4	Species	Helicoverpa armigera
BT_Cry54Aa1	Rank4	Species	Pieris rapae
