Strain	Num	Rank
4M5	3	Rank3
BC-01	2	Rank4
BC-01	2	Rank3
BGSC 4AP1	5	Rank4
BGSC 4AP1	5	Rank3
ARP058	1	Rank4
ARP058	1	Rank3
BGSC 4CD1	3	Rank4
BGSC 4CD1	3	Rank3
ARP258	1	Rank4
ARP258	1	Rank3
C-33	2	Rank4
C-33	2	Rank3
EG2158	1	Rank4
EG2158	1	Rank3
NB176	2	Rank4
NB176	1	Rank3
wu1E-3	1	Rank4
wu1E-3	1	Rank3
Bt S185	2	Rank4
Bt S185	2	Rank3
QZL144-4	1	Rank4
QZL144-4	1	Rank3
GWL	1	Rank4
GWL	1	Rank3
31-5	1	Rank4
31-5	1	Rank3
BA04	2	Rank4
BA04	2	Rank3
S6	2	Rank4
S6	2	Rank3
PS9-C12	2	Rank4
PS9-C12	2	Rank3
QHW7-2	2	Rank4
QHW7-2	2	Rank3
BGSC 4CF1	3	Rank4
BGSC 4CF1	3	Rank3
Ywc2-8	3	Rank4
Ywc2-8	3	Rank3
ARP271	1	Rank4
ARP271	1	Rank3
SSy126-c	4	Rank4
SSy126-c	2	Rank3
Sbt011	1	Rank4
Sbt011	1	Rank3
ARP057	1	Rank4
ARP057	1	Rank3
JF21-1	1	Rank4
JF21-1	1	Rank3
BT62	4	Rank4
BT62	3	Rank3
PS80JJ1	1	Rank4
PS80JJ1	1	Rank3
BN15-6	2	Rank4
BN15-6	2	Rank3
4L2	3	Rank4
4L2	3	Rank3
Dongbei 66	1	Rank4
Dongbei 66	1	Rank3
4L4	2	Rank4
4L4	2	Rank3
Pasteur Institute Standard strain	3	Rank4
Pasteur Institute Standard strain	3	Rank3
NHA15b	1	Rank4
NHA15b	1	Rank3
47-6B	1	Rank4
47-6B	1	Rank3
IAB59	1	Rank4
IAB59	1	Rank3
Sbt021	1	Rank4
Sbt021	1	Rank3
BGSC 4AS1	3	Rank4
BGSC 4AS1	2	Rank3
BGSC 4AW1	7	Rank4
BGSC 4AW1	7	Rank3
PS184M1	2	Rank4
PS184M1	2	Rank3
SWK1	1	Rank4
SWK1	1	Rank3
MPU B5	3	Rank4
MPU B5	3	Rank3
QZL183-2	1	Rank4
QZL183-2	1	Rank3
AH603	1	Rank4
AH603	1	Rank3
you2E-3	1	Rank4
you2E-3	1	Rank3
BtG7	1	Rank4
BtG7	1	Rank3
MEB4	1	Rank4
MEB4	1	Rank3
PS85A1	1	Rank4
PS85A1	1	Rank3
BGSC 4U1	5	Rank4
BGSC 4U1	5	Rank3
QZL26	1	Rank4
QZL26	1	Rank3
SC5(D2)	1	Rank4
SC5(D2)	1	Rank3
BGSC 4C1	2	Rank4
BGSC 4C1	2	Rank3
IBL00055	1	Rank4
IBL00055	1	Rank3
ARP080	1	Rank4
ARP080	1	Rank3
IBL00210	1	Rank4
IBL00210	1	Rank3
IBL00144	1	Rank4
IBL00144	1	Rank3
C12	1	Rank4
C12	1	Rank3
ARP203	1	Rank4
ARP203	1	Rank3
Mfbjulcb3	1	Rank4
Mfbjulcb3	1	Rank3
AM1195	1	Rank4
AM1195	1	Rank3
AM370	1	Rank4
AM370	1	Rank3
DAB-Bt1	3	Rank4
DAB-Bt1	3	Rank3
Gnyt1	4	Rank4
Gnyt1	4	Rank3
SC6H8	5	Rank4
SC6H8	5	Rank3
HZM2	1	Rank4
HZM2	1	Rank3
PS50C(b)	1	Rank4
PS50C(b)	1	Rank3
CH426a_13T	1	Rank4
CH426a_13T	1	Rank3
LBIC-004	1	Rank4
LBIC-004	1	Rank3
CH460b_14D	1	Rank4
CH460b_14D	1	Rank3
CH417_13T	1	Rank4
CH417_13T	1	Rank3
K26-21	1	Rank4
K26-21	1	Rank3
N141	1	Rank4
N141	1	Rank3
G25-7	2	Rank4
G25-7	2	Rank3
Sbt072	3	Rank4
Sbt072	3	Rank3
FCC41	6	Rank4
FCC41	5	Rank3
INTA Mo1-12	2	Rank4
INTA Mo1-12	2	Rank3
INTA TA24-6	1	Rank4
INTA TA24-6	1	Rank3
K4	1	Rank4
K4	1	Rank3
BUPM109	1	Rank4
BUPM109	1	Rank3
LBIT-147	1	Rank4
LBIT-147	1	Rank3
lyD	1	Rank4
lyD	1	Rank3
lyL	1	Rank4
lyL	1	Rank3
HD522	5	Rank4
HD522	4	Rank3
IBL 4222	4	Rank4
IBL 4222	2	Rank3
AFS089089	3	Rank4
AFS089089	3	Rank3
AFS098399	2	Rank4
AFS098399	2	Rank3
AFS050081	3	Rank4
AFS050081	3	Rank3
LS5115-3	1	Rank4
LS5115-3	1	Rank3
MnD	1	Rank4
MnD	1	Rank3
B-Pr-88	4	Rank4
B-Pr-88	4	Rank3
QWH108	1	Rank4
QWH108	1	Rank3
S3161-3	1	Rank4
S3161-3	1	Rank3
LBIT1200	1	Rank4
LBIT1200	1	Rank3
CMBLBT-5	1	Rank4
CMBLBT-5	1	Rank3
SK-935	1	Rank4
SK-935	1	Rank3
ML090	1	Rank4
ML090	1	Rank3
C15	5	Rank4
C15	5	Rank3
G25-47	1	Rank4
G25-47	1	Rank3
LBIT-107	2	Rank4
LBIT-107	2	Rank3
LBR2	1	Rank4
LBR2	1	Rank3
VD154	4	Rank4
VD154	4	Rank3
T13001	4	Rank4
T13001	4	Rank3
Sbt003	4	Rank4
Sbt003	4	Rank3
berliner 1715	1	Rank4
berliner 1715	1	Rank3
ARP011	1	Rank4
ARP011	1	Rank3
BTS89A	1	Rank4
BTS89A	1	Rank3
PS158C2	2	Rank4
PS158C2	2	Rank3
AFS081174	1	Rank4
AFS081174	1	Rank3
AFS081381	1	Rank4
AFS081381	1	Rank3
AFS083298	1	Rank4
AFS083298	1	Rank3
AFS017221	1	Rank4
AFS017221	1	Rank3
AFS045461	1	Rank4
AFS045461	1	Rank3
AFS083176	1	Rank4
AFS083176	1	Rank3
AFS001368	1	Rank4
AFS001368	1	Rank3
ARP277	1	Rank4
ARP277	1	Rank3
AFS074325	1	Rank4
AFS074325	1	Rank3
AFS057443	1	Rank4
AFS057443	1	Rank3
AFS056009	1	Rank4
AFS056009	1	Rank3
ARP052	1	Rank4
ARP052	1	Rank3
ZK2	1	Rank4
ZK2	1	Rank3
4H5	2	Rank4
4H5	2	Rank3
147	2	Rank4
147	2	Rank3
Root11	2	Rank4
Root11	2	Rank3
BB56-3	3	Rank4
BB56-3	3	Rank3
BRC-LLP29	3	Rank4
BRC-LLP29	3	Rank3
Root131	2	Rank4
Root131	2	Rank3
18_483	2	Rank4
18_483	2	Rank3
AG102	2	Rank4
AG102	2	Rank3
BS-pTAND672-2	2	Rank4
BS-pTAND672-2	2	Rank3
DE0030	2	Rank4
DE0030	2	Rank3
18_484	2	Rank4
18_484	2	Rank3
GPL-O901	2	Rank4
GPL-O901	2	Rank3
BGSC 4Q1	4	Rank4
BGSC 4Q1	3	Rank3
TAND672	2	Rank4
TAND672	2	Rank3
BGSC 4BZ1	1	Rank4
BGSC 4BZ1	1	Rank3
G25-6	1	Rank4
G25-6	1	Rank3
Sbt053	2	Rank4
Sbt053	2	Rank3
G25-44	3	Rank4
G25-44	3	Rank3
MYBT18246	3	Rank4
MYBT18246	3	Rank3
Buibui	2	Rank4
Buibui	2	Rank3
mgc157-1	2	Rank4
mgc157-1	2	Rank3
O-V84.2	3	Rank4
O-V84.2	3	Rank3
64-1-94	1	Rank4
64-1-94	1	Rank3
IS5056	6	Rank4
IS5056	6	Rank3
KNU-25	5	Rank4
KNU-25	5	Rank3
IBL00197	4	Rank4
IBL00197	4	Rank3
ZZQ-130	4	Rank4
ZZQ-130	4	Rank3
AFS057829	5	Rank4
AFS057829	5	Rank3
CT-43	5	Rank4
CT-43	5	Rank3
IMBL-B9	5	Rank4
IMBL-B9	5	Rank3
IPL7	2	Rank4
IPL7	2	Rank3
BfR-BA-01319	5	Rank4
BfR-BA-01319	5	Rank3
