Event	Tox_type	Dom_type	Host_type	Coeff	Coeff_type
71	Maj	domain2	Species	1.0	Simpson
71	Maj	domain2	Orders	0.2	Jaccard
71	Maj	domain2	Species	0.03787878787878788	Jaccard
73	Min	domain3	Orders	1.0	Simpson
73	Min	domain3	Species	1.0	Simpson
73	Min	domain3	Orders	1.0	Jaccard
73	Min	domain3	Species	1.0	Jaccard
78	Min	domain1	Orders	1.0	Simpson
78	Min	domain1	Species	0.0	Simpson
78	Min	domain1	Orders	0.3333333333333333	Jaccard
78	Min	domain1	Species	0.0	Jaccard
84	Min	domain1	Orders	1.0	Simpson
84	Min	domain1	Species	0.4	Simpson
84	Min	domain1	Orders	0.6	Jaccard
84	Min	domain1	Species	0.05555555555555555	Jaccard
87	Min	domain1	Orders	1.0	Simpson
87	Min	domain1	Species	1.0	Simpson
87	Min	domain1	Orders	1.0	Jaccard
87	Min	domain1	Species	0.9924812030075187	Jaccard
87	Maj	domain1	Orders	1.0	Simpson
87	Maj	domain1	Species	1.0	Simpson
87	Maj	domain1	Orders	1.0	Jaccard
87	Maj	domain1	Species	1.0	Jaccard
96	Min	domain1	Orders	1.0	Simpson
96	Min	domain1	Species	0.6666666666666666	Simpson
96	Min	domain1	Orders	0.5	Jaccard
96	Min	domain1	Species	0.3333333333333333	Jaccard
96	Maj	domain1	Orders	0.0	Simpson
96	Maj	domain1	Species	0.0	Simpson
96	Maj	domain1	Orders	0.0	Jaccard
96	Maj	domain1	Species	0.0	Jaccard
98	Min	domain3	Orders	1.0	Simpson
98	Min	domain3	Species	0.2	Simpson
98	Min	domain3	Orders	0.5	Jaccard
98	Min	domain3	Species	0.06666666666666667	Jaccard
98	Maj	domain3	Orders	1.0	Simpson
98	Maj	domain3	Species	1.0	Simpson
98	Maj	domain3	Orders	1.0	Jaccard
98	Maj	domain3	Species	0.2727272727272727	Jaccard
104	Min	domain3	Orders	1.0	Simpson
104	Min	domain3	Species	1.0	Simpson
104	Min	domain3	Orders	1.0	Jaccard
104	Min	domain3	Species	1.0	Jaccard
107	Min	domain2	Orders	1.0	Simpson
107	Min	domain2	Species	0.4	Simpson
107	Min	domain2	Orders	0.3333333333333333	Jaccard
107	Min	domain2	Species	0.2	Jaccard
109	Min	domain3	Orders	1.0	Simpson
109	Min	domain3	Species	1.0	Simpson
109	Min	domain3	Orders	0.75	Jaccard
109	Min	domain3	Species	0.8571428571428571	Jaccard
109	Maj	domain3	Orders	1.0	Simpson
109	Maj	domain3	Species	0.0	Simpson
109	Maj	domain3	Orders	0.3333333333333333	Jaccard
109	Maj	domain3	Species	0.0	Jaccard
113	Min	domain3	Orders	0.5	Simpson
113	Min	domain3	Species	0.6666666666666666	Simpson
113	Min	domain3	Orders	0.3333333333333333	Jaccard
113	Min	domain3	Species	0.08695652173913043	Jaccard
119	Min	domain1	Orders	1.0	Simpson
119	Min	domain1	Species	0.5	Simpson
119	Min	domain1	Orders	0.5	Jaccard
119	Min	domain1	Species	0.1111111111111111	Jaccard
119	Maj	domain1	Orders	1.0	Simpson
119	Maj	domain1	Species	0.5	Simpson
119	Maj	domain1	Orders	0.5	Jaccard
119	Maj	domain1	Species	0.1111111111111111	Jaccard
