ID	Rec_num	Par_num	Comon_num	Coeff	Dataset	Par_type
95	1	33	0.0	Rec_coeff	Strains	All
95	1	33	0.0	Par_coeff	Strains	All
96	5	9	0.0	Jaccard	Strains	Strict
96	5	9	0.0	Simpson	Strains	Strict
96	5	9	0.0	Braun	Strains	Strict
96	5	9	0.0	Rec_coeff	Strains	Strict
96	5	9	0.0	Par_coeff	Strains	Strict
96	5	14	0.0	Jaccard	Strains	All
96	5	14	0.0	Simpson	Strains	All
96	5	9	0.0	Braun	Strains	All
96	5	9	0.0	Rec_coeff	Strains	All
96	5	9	0.0	Par_coeff	Strains	All
98	2	2	0.0	Jaccard	Strains	Strict
98	2	2	0.0	Simpson	Strains	Strict
98	2	2	0.0	Braun	Strains	Strict
98	2	2	0.0	Rec_coeff	Strains	Strict
98	2	2	0.0	Par_coeff	Strains	Strict
98	2	6	0.0	Jaccard	Strains	All
98	2	6	0.0	Simpson	Strains	All
98	2	2	0.0	Braun	Strains	All
98	2	2	0.0	Rec_coeff	Strains	All
98	2	2	0.0	Par_coeff	Strains	All
103	11	16	0.0	Jaccard	Strains	All
103	11	16	0.0	Simpson	Strains	All
103	11	0	0.0	Braun	Strains	All
103	11	0	0.0	Rec_coeff	Strains	All
103	11	0	0.0	Par_coeff	Strains	All
104	5	8	0.625	Jaccard	Strains	Strict
104	5	8	1.0	Simpson	Strains	Strict
104	5	8	0.625	Braun	Strains	Strict
104	5	8	1.0	Rec_coeff	Strains	Strict
104	5	8	0.0	Par_coeff	Strains	Strict
104	5	8	0.625	Jaccard	Strains	All
104	5	8	1.0	Simpson	Strains	All
104	5	8	0.625	Braun	Strains	All
104	5	8	1.0	Rec_coeff	Strains	All
104	5	8	0.0	Par_coeff	Strains	All
107	3	5	0.0	Jaccard	Strains	Strict
107	3	5	0.0	Simpson	Strains	Strict
107	3	5	0.0	Braun	Strains	Strict
107	3	5	0.0	Rec_coeff	Strains	Strict
107	3	5	0.0	Par_coeff	Strains	Strict
107	3	17	0.05263157894736842	Jaccard	Strains	All
107	3	17	0.3333333333333333	Simpson	Strains	All
107	3	5	0.058823529411764705	Braun	Strains	All
107	3	5	0.3333333333333333	Rec_coeff	Strains	All
107	3	5	0.29411764705882354	Par_coeff	Strains	All
109	10	24	0.030303030303030304	Jaccard	Strains	Strict
109	10	24	0.1	Simpson	Strains	Strict
109	10	24	0.041666666666666664	Braun	Strains	Strict
109	10	24	0.1	Rec_coeff	Strains	Strict
109	10	24	0.0	Par_coeff	Strains	Strict
109	10	24	0.030303030303030304	Jaccard	Strains	All
109	10	24	0.1	Simpson	Strains	All
109	10	24	0.041666666666666664	Braun	Strains	All
109	10	24	0.1	Rec_coeff	Strains	All
109	10	24	0.0	Par_coeff	Strains	All
112	7	3	0.0	Jaccard	Strains	Strict
112	7	3	0.0	Simpson	Strains	Strict
112	7	3	0.0	Braun	Strains	Strict
112	7	3	0.0	Rec_coeff	Strains	Strict
112	7	3	0.0	Par_coeff	Strains	Strict
112	7	4	0.0	Jaccard	Strains	All
112	7	4	0.0	Simpson	Strains	All
112	7	3	0.0	Braun	Strains	All
112	7	3	0.0	Rec_coeff	Strains	All
112	7	3	0.0	Par_coeff	Strains	All
113	4	3	0.0	Jaccard	Strains	Strict
113	4	3	0.0	Simpson	Strains	Strict
113	4	3	0.0	Braun	Strains	Strict
113	4	3	0.0	Rec_coeff	Strains	Strict
113	4	3	0.0	Par_coeff	Strains	Strict
113	4	3	0.0	Jaccard	Strains	All
113	4	3	0.0	Simpson	Strains	All
113	4	3	0.0	Braun	Strains	All
113	4	3	0.0	Rec_coeff	Strains	All
113	4	3	0.0	Par_coeff	Strains	All
119	1	3	0.0	Jaccard	Strains	Strict
119	1	3	0.0	Simpson	Strains	Strict
119	1	3	0.0	Braun	Strains	Strict
119	1	3	0.0	Rec_coeff	Strains	Strict
119	1	3	0.3333333333333333	Par_coeff	Strains	Strict
119	1	3	0.0	Jaccard	Strains	All
119	1	3	0.0	Simpson	Strains	All
119	1	3	0.0	Braun	Strains	All
119	1	3	0.0	Rec_coeff	Strains	All
119	1	3	0.3333333333333333	Par_coeff	Strains	All
0	1	4	0.0	Jaccard	Assemblies	Strict
0	1	4	0.0	Simpson	Assemblies	Strict
0	1	4	0.0	Braun	Assemblies	Strict
0	1	4	0.0	Rec_coeff	Assemblies	Strict
0	1	4	1.0	Par_coeff	Assemblies	Strict
0	1	4	0.0	Jaccard	Assemblies	All
0	1	4	0.0	Simpson	Assemblies	All
0	1	4	0.0	Braun	Assemblies	All
0	1	4	0.0	Rec_coeff	Assemblies	All
