ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
36	domain3	domain1	Rec	known	purifying	non-signif	0.113	0.095	7	1	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
36	domain3	domain1	Par	known	purifying	non-signif	0.109	0.116	7	2	3	relaxation	0	0	1	mB	231	0	0	not_passed	NA	NA
36	domain3	domain2	Rec	known	purifying	non-signif	0.257	0.156	10	1	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
37	domain3	domain3	Rec	known	purifying	non-signif	0.636	0.465	12	1	2	positive	19	0	0	mB	0	0	0	passed	Different	0.0
37	domain3	domain3	Par	known	non-signif	non-signif	0.621	0.56	12	1	2	positive	19	0	0	mB	0	69	0	not_passed	Different	0.0
37	domain3	domain1	Rec	known	non-signif	signif	0.381	0.904	10	1	4	positive	1	0	0	mB	4	48	0	passed	Different	0.0
37	domain3	domain1	Par	known	non-signif	signif	0.309	1.389	10	3	4	positive	1	0	0	mB	12	11	0	passed	Different	0.0
37	domain3	domain2	Rec	known	non-signif	non-signif	0.19	0.42700000000000005	8	1	2	non-signif	0	0	0	mB	0	23	0	passed	Different	0.0
37	domain3	domain2	Par	known	purifying	non-signif	0.199	0.222	8	1	2	non-signif	0	0	0	mB	0	1	0	passed	Different	0.0
38	domain1	domain1	Rec	known	non-signif	signif	0.41200000000000003	1.857	22	1	8	positive	4	4	0	mB	1	10	0	passed	Different	0.0
38	domain1	domain1	Par	known	non-signif	signif	0.341	0.94	22	7	8	positive	4	4	0	mB	19	35	0	passed	Different	0.0
38	domain1	domain2	Rec	known	purifying	non-signif	0.55	0.222	8	1	2	positive	3	0	0	mB	0	0	0	passed	Different	0.0
38	domain1	domain2	Par	known	purifying	non-signif	0.535	0.19	8	1	2	positive	3	0	0	mB	0	37	0	passed	Different	0.0
38	domain1	domain3	Rec	known	non-signif	non-signif	0.301	0.15	8	1	2	relaxation	0	0	2	mB	0	0	0	passed	Different	0.0
38	domain1	domain3	Par	known	purifying	non-signif	0.309	0.199	8	1	2	relaxation	0	0	2	mB	0	0	0	passed	Different	0.0
39	domain3	domain3	Rec	known	non-signif	non-signif	0.439	0.78	28	1	3	positive	11	3	0	mB	2	28	0	passed	NA	NA
39	domain3	domain1	Rec	known	non-signif	signif	0.391	1.9480000000000002	10	1	2	positive	1	0	0	mB	3	0	0	passed	NA	NA
39	domain3	domain1	Par	known	non-signif	signif	0.393	3.281	10	1	2	positive	1	0	0	mB	1	53	0	passed	NA	NA
